index	max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators
405	5	0.75	20	20	200
406	5	0.75	20	20	400
407	5	0.75	20	20	800
408	5	0.75	20	40	200
409	5	0.75	20	40	400
410	5	0.75	20	40	800
411	5	0.75	20	100	200
412	5	0.75	20	100	400
413	5	0.75	20	100	800
414	5	0.75	40	2	200
415	5	0.75	40	2	400
416	5	0.75	40	2	800
417	5	0.75	40	5	200
418	5	0.75	40	5	400
419	5	0.75	40	5	800
420	5	0.75	40	10	200
421	5	0.75	40	10	400
422	5	0.75	40	10	800
423	5	0.75	40	20	200
424	5	0.75	40	20	400
425	5	0.75	40	20	800
426	5	0.75	40	40	200
427	5	0.75	40	40	400
428	5	0.75	40	40	800
429	5	0.75	40	100	200
430	5	0.75	40	100	400
431	5	0.75	40	100	800
432	5	0.75	100	2	200
433	5	0.75	100	2	400
434	5	0.75	100	2	800
435	5	0.75	100	5	200
436	5	0.75	100	5	400
437	5	0.75	100	5	800
438	5	0.75	100	10	200
439	5	0.75	100	10	400
440	5	0.75	100	10	800
441	5	0.75	100	20	200
442	5	0.75	100	20	400
443	5	0.75	100	20	800
444	5	0.75	100	40	200
445	5	0.75	100	40	400
446	5	0.75	100	40	800
447	5	0.75	100	100	200
448	5	0.75	100	100	400
449	5	0.75	100	100	800
450	5	0.9	1	2	200
451	5	0.9	1	2	400
452	5	0.9	1	2	800
453	5	0.9	1	5	200
454	5	0.9	1	5	400
455	5	0.9	1	5	800
456	5	0.9	1	10	200
457	5	0.9	1	10	400
458	5	0.9	1	10	800
459	5	0.9	1	20	200
460	5	0.9	1	20	400
461	5	0.9	1	20	800
462	5	0.9	1	40	200
463	5	0.9	1	40	400
464	5	0.9	1	40	800
465	5	0.9	1	100	200
466	5	0.9	1	100	400
467	5	0.9	1	100	800
468	5	0.9	10	2	200
469	5	0.9	10	2	400
470	5	0.9	10	2	800
471	5	0.9	10	5	200
472	5	0.9	10	5	400
473	5	0.9	10	5	800
474	5	0.9	10	10	200
475	5	0.9	10	10	400
476	5	0.9	10	10	800
477	5	0.9	10	20	200
478	5	0.9	10	20	400
479	5	0.9	10	20	800
480	5	0.9	10	40	200
481	5	0.9	10	40	400
482	5	0.9	10	40	800
483	5	0.9	10	100	200
484	5	0.9	10	100	400
485	5	0.9	10	100	800
486	5	0.9	20	2	200
487	5	0.9	20	2	400
488	5	0.9	20	2	800
489	5	0.9	20	5	200
490	5	0.9	20	5	400
491	5	0.9	20	5	800
492	5	0.9	20	10	200
493	5	0.9	20	10	400
494	5	0.9	20	10	800
495	5	0.9	20	20	200
496	5	0.9	20	20	400
497	5	0.9	20	20	800
498	5	0.9	20	40	200
499	5	0.9	20	40	400
500	5	0.9	20	40	800
501	5	0.9	20	100	200
502	5	0.9	20	100	400
503	5	0.9	20	100	800
504	5	0.9	40	2	200
505	5	0.9	40	2	400
506	5	0.9	40	2	800
507	5	0.9	40	5	200
508	5	0.9	40	5	400
509	5	0.9	40	5	800
510	5	0.9	40	10	200
511	5	0.9	40	10	400
512	5	0.9	40	10	800
513	5	0.9	40	20	200
514	5	0.9	40	20	400
515	5	0.9	40	20	800
516	5	0.9	40	40	200
517	5	0.9	40	40	400
518	5	0.9	40	40	800
519	5	0.9	40	100	200
520	5	0.9	40	100	400
521	5	0.9	40	100	800
522	5	0.9	100	2	200
523	5	0.9	100	2	400
524	5	0.9	100	2	800
525	5	0.9	100	5	200
526	5	0.9	100	5	400
527	5	0.9	100	5	800
528	5	0.9	100	10	200
529	5	0.9	100	10	400
530	5	0.9	100	10	800
531	5	0.9	100	20	200
532	5	0.9	100	20	400
533	5	0.9	100	20	800
