	index	max_depth	max_features	mean_score	min_samples_leaf	min_samples_split	n_estimators	run_time
178	3173.0	150.0	0.9	0.8240000000000001	10.0	5.0	800.0	696.171
179	2307.0	100.0	0.1	0.61	40.0	5.0	200.0	22.81
180	1595.0	30.0	0.9	0.7979999999999999	40.0	20.0	800.0	440.392
181	1301.0	30.0	0.25	0.7709999999999999	20.0	5.0	800.0	227.412
182	1277.0	30.0	0.25	0.778	1.0	100.0	800.0	346.311
183	722.0	15.0	0.25	0.818	1.0	2.0	800.0	377.3
184	1953.0	50.0	0.5	0.782	40.0	20.0	200.0	76.646
185	1755.0	50.0	0.1	0.67	20.0	20.0	200.0	25.875
186	1205.0	30.0	0.1	0.6709999999999999	10.0	100.0	800.0	118.648
187	2647.0	100.0	0.9	0.813	20.0	2.0	400.0	257.02099999999996
188	1820.0	50.0	0.25	0.795	10.0	2.0	800.0	227.998
189	2761.0	150.0	0.01	0.201	40.0	10.0	400.0	18.551
190	2375.0	100.0	0.25	0.767	10.0	100.0	800.0	166.544
191	2680.0	100.0	0.9	0.795	40.0	100.0	400.0	478.64099999999996
192	1967.0	50.0	0.5	0.743	100.0	5.0	800.0	255.37599999999998
193	1742.0	50.0	0.1	0.7020000000000001	10.0	40.0	800.0	117.31299999999999
194	3067.0	150.0	0.75	0.835	1.0	10.0	400.0	357.80699999999996
195	1362.0	30.0	0.5	0.8240000000000001	1.0	40.0	200.0	97.26799999999999
196	2251.0	100.0	0.1	0.777	1.0	2.0	400.0	216.93400000000003
197	1628.0	50.0	0.01	0.495	1.0	10.0	800.0	59.256
198	1391.0	30.0	0.5	0.8029999999999999	20.0	5.0	800.0	295.408
199	2490.0	100.0	0.5	0.7809999999999999	40.0	10.0	200.0	127.10600000000001
200	1134.0	30.0	0.01	0.203	40.0	2.0	200.0	9.991
201	2699.0	100.0	0.9	0.767	100.0	100.0	800.0	371.726
202	2976.0	150.0	0.5	0.8320000000000001	1.0	10.0	200.0	116.985
203	1664.0	50.0	0.01	0.27399999999999997	20.0	10.0	800.0	47.086000000000006
204	1957.0	50.0	0.5	0.782	40.0	40.0	400.0	151.144
205	1918.0	50.0	0.5	0.818	10.0	20.0	400.0	565.596
206	1078.0	15.0	0.9	0.767	100.0	100.0	400.0	187.118
207	1520.0	30.0	0.75	0.763	100.0	10.0	800.0	303.268
208	1107.0	30.0	0.01	0.331	10.0	20.0	200.0	10.967
209	2386.0	100.0	0.25	0.77	20.0	20.0	400.0	89.041
210	363.0	5.0	0.75	0.7859999999999999	1.0	5.0	200.0	178.739
211	257.0	5.0	0.25	0.66	100.0	5.0	800.0	170.81
212	760.0	15.0	0.25	0.77	20.0	5.0	400.0	221.923
213	890.0	15.0	0.5	0.7440000000000001	100.0	10.0	800.0	318.897
214	1210.0	30.0	0.1	0.667	20.0	5.0	400.0	96.83
215	1563.0	30.0	0.9	0.8109999999999999	10.0	100.0	200.0	138.15
216	2044.0	50.0	0.75	0.794	40.0	20.0	400.0	275.23
217	2440.0	100.0	0.5	0.83	1.0	20.0	400.0	291.752
218	2781.0	150.0	0.01	0.10300000000000001	100.0	20.0	200.0	7.439
219	2389.0	100.0	0.25	0.77	20.0	40.0	400.0	182.15099999999998
220	2337.0	100.0	0.1	0.515	100.0	100.0	200.0	15.689
221	2952.0	150.0	0.25	0.6709999999999999	100.0	2.0	200.0	80.62899999999999
222	2379.0	100.0	0.25	0.7709999999999999	20.0	5.0	200.0	104.446
223	777.0	15.0	0.25	0.7340000000000001	40.0	5.0	200.0	33.510999999999996
224	1572.0	30.0	0.9	0.813	20.0	10.0	200.0	159.665
225	586.0	15.0	0.01	0.253	20.0	20.0	400.0	8.248
226	714.0	15.0	0.1	0.524	100.0	40.0	200.0	16.744
227	2060.0	50.0	0.75	0.763	100.0	10.0	800.0	445.48800000000006
228	2719.0	150.0	0.01	0.33799999999999997	10.0	2.0	400.0	15.127
229	2969.0	150.0	0.25	0.6729999999999999	100.0	100.0	800.0	144.683
230	577.0	15.0	0.01	0.253	20.0	2.0	400.0	7.825
231	1390.0	30.0	0.5	0.8029999999999999	20.0	5.0	400.0	169.118
232	114.0	5.0	0.1	0.537	10.0	10.0	200.0	21.803
233	1884.0	50.0	0.25	0.67	100.0	40.0	200.0	60.545
234	1222.0	30.0	0.1	0.6459999999999999	20.0	100.0	400.0	40.931999999999995
235	73.0	5.0	0.01	0.098	100.0	2.0	400.0	10.960999999999999
236	996.0	15.0	0.9	0.828	1.0	10.0	200.0	179.00799999999998
237	1432.0	30.0	0.5	0.7440000000000001	100.0	20.0	400.0	355.244
238	2550.0	100.0	0.75	0.82	10.0	40.0	200.0	118.041
239	31.0	5.0	0.01	0.14800000000000002	10.0	40.0	400.0	15.402999999999999
240	1496.0	30.0	0.75	0.794	40.0	2.0	800.0	397.69699999999995
241	1974.0	50.0	0.5	0.743	100.0	40.0	200.0	127.04700000000001
242	2011.0	50.0	0.75	0.82	10.0	40.0	400.0	252.96
243	2612.0	100.0	0.9	0.835	1.0	2.0	800.0	797.836
244	20.0	5.0	0.01	0.139	10.0	2.0	800.0	28.143
245	1338.0	30.0	0.25	0.6709999999999999	100.0	10.0	200.0	32.162
246	1722.0	50.0	0.1	0.743	1.0	40.0	200.0	31.03
247	473.0	5.0	0.9	0.787	10.0	5.0	800.0	405.34
248	1966.0	50.0	0.5	0.7440000000000001	100.0	5.0	400.0	116.741
249	1756.0	50.0	0.1	0.669	20.0	20.0	400.0	47.577
250	2008.0	50.0	0.75	0.8240000000000001	10.0	20.0	400.0	277.559
251	1272.0	30.0	0.25	0.8059999999999999	1.0	40.0	200.0	50.593
252	2773.0	150.0	0.01	0.115	100.0	2.0	400.0	11.579
253	754.0	15.0	0.25	0.7659999999999999	10.0	100.0	400.0	82.78
254	2658.0	100.0	0.9	0.813	20.0	40.0	200.0	134.91
255	2609.0	100.0	0.75	0.763	100.0	100.0	800.0	307.019
256	1959.0	50.0	0.5	0.778	40.0	100.0	200.0	63.117
257	1121.0	30.0	0.01	0.27399999999999997	20.0	5.0	800.0	42.486999999999995
258	2372.0	100.0	0.25	0.7879999999999999	10.0	40.0	800.0	300.8
259	2126.0	50.0	0.9	0.797	40.0	2.0	800.0	416.37699999999995
260	2940.0	150.0	0.25	0.731	40.0	10.0	200.0	35.214
261	929.0	15.0	0.75	0.821	10.0	20.0	800.0	1061.249
262	398.0	5.0	0.75	0.784	20.0	2.0	800.0	507.709
263	2131.0	50.0	0.9	0.7979999999999999	40.0	10.0	400.0	215.72400000000002
264	2065.0	50.0	0.75	0.763	100.0	40.0	400.0	405.52099999999996
265	3201.0	150.0	0.9	0.805	20.0	100.0	200.0	128.424
266	921.0	15.0	0.75	0.821	10.0	5.0	200.0	127.8
267	1545.0	30.0	0.9	0.815	1.0	100.0	200.0	117.36200000000001
268	3157.0	150.0	0.9	0.8340000000000001	1.0	10.0	400.0	465.458
269	700.0	15.0	0.1	0.609	40.0	100.0	400.0	47.332
270	1206.0	30.0	0.1	0.665	20.0	2.0	200.0	26.018
271	2865.0	150.0	0.1	0.518	100.0	5.0	200.0	18.199
272	2392.0	100.0	0.25	0.754	20.0	100.0	400.0	72.012
273	1026.0	15.0	0.9	0.812	20.0	2.0	200.0	273.585
274	609.0	15.0	0.01	0.198	40.0	100.0	200.0	3.883
275	291.0	5.0	0.5	0.774	10.0	5.0	200.0	72.092
276	1336.0	30.0	0.25	0.67	100.0	5.0	400.0	70.645
277	2336.0	100.0	0.1	0.524	100.0	40.0	800.0	51.606
278	79.0	5.0	0.01	0.094	100.0	10.0	400.0	11.805
279	178.0	5.0	0.1	0.496	100.0	100.0	400.0	36.527
280	582.0	15.0	0.01	0.254	20.0	10.0	200.0	4.313
281	669.0	15.0	0.1	0.669	20.0	5.0	200.0	43.86
282	681.0	15.0	0.1	0.649	20.0	100.0	200.0	23.391
283	1125.0	30.0	0.01	0.271	20.0	20.0	200.0	6.507999999999999
284	575.0	15.0	0.01	0.282	10.0	100.0	800.0	21.881999999999998
285	1864.0	50.0	0.25	0.736	40.0	20.0	400.0	72.006
286	762.0	15.0	0.25	0.77	20.0	10.0	200.0	39.998000000000005
287	1551.0	30.0	0.9	0.8240000000000001	10.0	5.0	200.0	155.681
288	656.0	15.0	0.1	0.7070000000000001	10.0	10.0	800.0	149.75799999999998
289	833.0	15.0	0.5	0.8170000000000001	10.0	5.0	800.0	613.2959999999999
290	3149.0	150.0	0.75	0.763	100.0	100.0	800.0	307.316
291	2876.0	150.0	0.1	0.524	100.0	40.0	800.0	89.961
292	96.0	5.0	0.1	0.536	1.0	10.0	200.0	33.077
293	784.0	15.0	0.25	0.735	40.0	20.0	400.0	178.878
294	1085.0	30.0	0.01	0.46	1.0	5.0	800.0	77.45100000000001
295	1033.0	15.0	0.9	0.812	20.0	10.0	400.0	381.29699999999997
296	749.0	15.0	0.25	0.794	10.0	20.0	800.0	367.191
297	853.0	15.0	0.5	0.802	20.0	10.0	400.0	173.15900000000002
298	1133.0	30.0	0.01	0.273	20.0	100.0	800.0	24.245
299	1279.0	30.0	0.25	0.795	10.0	2.0	400.0	113.02799999999999
300	2644.0	100.0	0.9	0.812	10.0	100.0	400.0	271.7
301	2544.0	100.0	0.75	0.8220000000000001	10.0	10.0	200.0	137.049
302	3004.0	150.0	0.5	0.8	10.0	100.0	400.0	405.105
303	1043.0	15.0	0.9	0.804	20.0	100.0	800.0	446.235
304	2029.0	50.0	0.75	0.8109999999999999	20.0	40.0	400.0	528.8009999999999
305	265.0	5.0	0.25	0.6629999999999999	100.0	40.0	400.0	73.86
306	58.0	5.0	0.01	0.126	40.0	5.0	400.0	8.613
307	57.0	5.0	0.01	0.11800000000000001	40.0	5.0	200.0	7.136
308	2829.0	150.0	0.1	0.665	20.0	5.0	200.0	53.118
309	3167.0	150.0	0.9	0.816	1.0	100.0	800.0	1184.053
310	2673.0	100.0	0.9	0.7979999999999999	40.0	20.0	200.0	114.736
311	1228.0	30.0	0.1	0.611	40.0	5.0	400.0	38.766999999999996
312	264.0	5.0	0.25	0.664	100.0	40.0	200.0	38.397
313	1152.0	30.0	0.01	0.113	100.0	2.0	200.0	3.819
314	787.0	15.0	0.25	0.736	40.0	40.0	400.0	77.60300000000001
315	1232.0	30.0	0.1	0.611	40.0	10.0	800.0	200.09900000000002
316	2666.0	100.0	0.9	0.7979999999999999	40.0	2.0	800.0	435.973
317	1115.0	30.0	0.01	0.33	10.0	100.0	800.0	31.233
318	864.0	15.0	0.5	0.782	40.0	2.0	200.0	76.395
319	520.0	5.0	0.9	0.7809999999999999	40.0	100.0	400.0	121.75399999999999
320	1161.0	30.0	0.01	0.114	100.0	20.0	200.0	3.728
321	757.0	15.0	0.25	0.769	20.0	2.0	400.0	74.51
322	2122.0	50.0	0.9	0.805	20.0	100.0	400.0	376.45300000000003
323	943.0	15.0	0.75	0.81	20.0	10.0	400.0	227.06099999999998
324	1097.0	30.0	0.01	0.39899999999999997	1.0	100.0	800.0	36.86
325	2370.0	100.0	0.25	0.7879999999999999	10.0	40.0	200.0	94.236
