	Avg_F2	Avg_GeoMean	Avg_Precision	Avg_ROCAUC	Avg_Recall	Avg_ThrshAcc	index	max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	run_time
185	0.269438	0.32799999999999996	0.535435	0.8490559999999999	0.305821	0.889501	268.0	20.0	0.49	10.0	10.0	200.0	3799.365
186	0.0	0.0	0.4261	0.765948	0.0	0.8726450000000001	6.0	20.0	0.01	1.0	50.0	100.0	416.955
187	0.08212699999999999	0.171	0.514414	0.8308760000000001	0.13083599999999998	0.878627	373.0	50.0	0.03	5.0	2.0	200.0	1305.661
188	0.136151	0.19	0.464791	0.808491	0.15726500000000002	0.880711	229.0	20.0	0.25	500.0	2.0	200.0	2566.179
189	0.0	0.0	0.41026	0.75848	0.0	0.8726450000000001	111.0	20.0	0.03	500.0	10.0	100.0	416.917
190	0.141943	0.207	0.498621	0.826176	0.16942100000000002	0.882151	161.0	20.0	0.1	50.0	10.0	500.0	4777.309
191	0.16985799999999998	0.23	0.517468	0.837684	0.204229	0.8839799999999999	126.0	20.0	0.1	1.0	50.0	100.0	1913.204
192	0.27884899999999996	0.344	0.544836	0.853728	0.315398	0.890152	866.0	100.0	0.49	10.0	2.0	500.0	12153.02
193	0.060451	0.145	0.506162	0.826319	0.111831	0.877081	685.0	100.0	0.03	10.0	2.0	200.0	1164.147
194	0.0	0.0	0.41787299999999994	0.7622979999999999	0.0	0.8726450000000001	410.0	50.0	0.03	500.0	2.0	500.0	1859.67
195	0.268282	0.32	0.541533	0.851992	0.304023	0.889552	875.0	100.0	0.49	10.0	100.0	500.0	10706.386999999999
196	0.279458	0.34299999999999997	0.540183	0.850708	0.31578	0.890109	255.0	20.0	0.49	5.0	10.0	100.0	4930.284000000001
197	0.141628	0.207	0.496895	0.825422	0.169906	0.8820680000000001	165.0	20.0	0.1	50.0	100.0	100.0	890.018
198	0.161333	0.21899999999999997	0.505649	0.830628	0.190058	0.883224	458.0	50.0	0.1	50.0	2.0	500.0	4157.92
199	0.0	0.0	0.41516000000000003	0.763231	0.0	0.8726450000000001	411.0	50.0	0.03	500.0	10.0	100.0	605.621
200	0.184553	0.22699999999999998	0.473229	0.814608	0.21020999999999998	0.8836430000000001	296.0	20.0	0.49	500.0	50.0	500.0	4984.185
201	0.236131	0.27399999999999997	0.516212	0.839801	0.271567	0.8870959999999999	587.0	50.0	0.49	50.0	100.0	500.0	10692.686000000002
202	0.162554	0.22	0.505142	0.8305299999999999	0.191063	0.88334	763.0	100.0	0.1	50.0	50.0	200.0	1570.88
203	0.21206	0.259	0.536886	0.8481879999999999	0.245275	0.8870370000000001	1041.0	300.0	0.1	5.0	100.0	100.0	1408.455
204	0.0	0.0	0.417724	0.76234	0.0	0.8726450000000001	413.0	50.0	0.03	500.0	10.0	500.0	1975.085
205	0.26015900000000003	0.311	0.545462	0.853239	0.295137	0.8894770000000001	509.0	50.0	0.25	10.0	10.0	500.0	8024.243
206	0.297822	0.37799999999999995	0.551431	0.855923	0.335144	0.8912399999999999	855.0	100.0	0.49	5.0	10.0	100.0	3218.0879999999997
207	0.165875	0.22699999999999998	0.515826	0.8369690000000001	0.199424	0.8837700000000001	151.0	20.0	0.1	10.0	50.0	200.0	2335.6020000000003
208	0.0035789999999999997	0.055	0.439597	0.782802	0.012521	0.872825	303.0	50.0	0.01	1.0	10.0	100.0	675.044
209	0.216446	0.253	0.514871	0.838087	0.245623	0.8863040000000001	518.0	50.0	0.25	50.0	2.0	500.0	12302.091999999999
